x_mm,y_mm,z_mm,status,reason,theta1_deg,theta2_deg,theta3_deg,fk_x_mm,fk_y_mm,fk_z_mm,roundtrip_error_mm,fk_iterations,fk_max_residual_mm2
30.0,15.0,-220.0,ok,ok,23.82678099708557,35.66342821657883,22.92075093377878,30.000000000010672,15.000000000005295,-220.0000000000784,7.928728127375527e-11,5,4.4397893361747265e-08
-30.0,30.0,-220.0,ok,ok,19.10824741770138,24.08049563720261,36.56506931194761,-30.000000000000146,29.999999999999982,-220.00000000000023,2.706132582736422e-13,5,1.4551915228366852e-10
-15.0,30.0,-220.0,ok,ok,19.88793047798086,28.163677152977193,34.41229818488453,-15.000000000005409,30.00000000001069,-220.00000000007844,7.93535392799014e-11,5,4.4441549107432365e-08
0.0,30.0,-220.0,ok,ok,20.1490141373362,31.613764905486523,31.613764905486523,-7.105427357601002e-15,30.000000000006906,-220.00000000005227,5.272185012442529e-11,5,2.954038791358471e-08
15.0,30.0,-220.0,ok,ok,19.88793047798086,34.41229818488453,28.163677152977193,15.000000000005409,30.00000000001069,-220.00000000007844,7.93535392799014e-11,5,4.4441549107432365e-08
30.0,30.0,-220.0,ok,ok,19.10824741770138,36.56506931194761,24.08049563720261,30.000000000000146,29.999999999999982,-220.00000000000023,2.706132582736422e-13,5,1.4551915228366852e-10
-30.0,-30.0,-200.0,ok,ok,49.11062453831728,29.446179656653612,44.44972633831258,-30.000000000000092,-29.99999999999992,-200.00000000000003,1.2655841267812829e-13,5,2.9103830456733704e-11
-15.0,-30.0,-200.0,ok,ok,50.10980553486376,34.45754285094402,42.00563124110048,-14.999999999999925,-30.000000000000018,-200.00000000000003,8.178961105344724e-14,5,5.820766091346741e-11
0.0,-30.0,-200.0,ok,ok,50.446198807195444,38.66943302265441,38.66943302265441,5.857366521463104e-15,-30.000000000161524,-200.00000000109364,1.1055026967014512e-09,4,6.332556949928403e-07
15.0,-30.0,-200.0,ok,ok,50.10980553486376,42.00563124110048,34.45754285094402,14.999999999999925,-30.000000000000018,-200.00000000000003,8.178961105344724e-14,5,5.820766091346741e-11
30.0,-30.0,-200.0,ok,ok,49.11062453831728,44.44972633831258,29.446179656653612,30.000000000000092,-29.99999999999992,-200.00000000000003,1.2655841267812829e-13,5,2.9103830456733704e-11
-30.0,-15.0,-200.0,ok,ok,46.495454051580154,32.777850823387936,47.36381237790598,-29.999999999999996,-14.999999999999954,-200.0,4.6321719119665155e-14,5,1.4551915228366852e-11
-15.0,-15.0,-200.0,ok,ok,47.529361773740945,37.75001743357559,45.07576796920154,-15.000000000023796,-15.000000000023812,-200.00000000032142,3.2317920541793067e-10,4,1.8542050383985043e-07
0.0,-15.0,-200.0,ok,ok,47.87778119018546,41.87108935360379,41.87108935360379,8.781767971923638e-15,-15.000000000012138,-200.00000000016325,1.637048976699719e-10,4,9.39908204600215e-08
15.0,-15.0,-200.0,ok,ok,47.529361773740945,45.07576796920154,37.75001743357559,15.000000000023796,-15.000000000023812,-200.00000000032142,3.2317920541793067e-10,4,1.8542050383985043e-07
30.0,-15.0,-200.0,ok,ok,46.495454051580154,47.36381237790598,32.777850823387936,29.999999999999996,-14.999999999999954,-200.0,4.6321719119665155e-14,5,1.4551915228366852e-11
-30.0,0.0,-200.0,ok,ok,42.90257032973596,35.40950742763684,49.51256005603753,-30.00000000016193,-1.083042076160945e-13,-200.0000000010948,1.1067146863037012e-09,4,6.339396350085735e-07
-15.0,0.0,-200.0,ok,ok,43.95211302212357,40.30179119475968,47.37098607310327,-15.000000000012127,-2.5717275531356165e-14,-200.00000000016328,1.6373245318361985e-10,4,9.400537237524986e-08
0.0,0.0,-200.0,ok,ok,44.30595804036541,44.30595804036541,44.30595804036541,-2.2215302514227986e-16,-7.105644198035499e-15,-200.00000000007876,7.87565571525087e-11,4,4.525645636022091e-08
15.0,0.0,-200.0,ok,ok,43.95211302212357,47.37098607310327,40.30179119475968,15.000000000012127,-2.5717275531356165e-14,-200.00000000016328,1.6373245318361985e-10,4,9.400537237524986e-08
30.0,0.0,-200.0,ok,ok,42.90257032973596,49.51256005603753,35.40950742763684,30.00000000016193,-1.083042076160945e-13,-200.0000000010948,1.1067146863037012e-09,4,6.339396350085735e-07
-30.0,15.0,-200.0,ok,ok,38.32367071479161,37.30424340285108,50.90049806987348,-30.000000000000092,14.99999999999996,-200.0,1.0100271890557266e-13,5,2.9103830456733704e-11
-15.0,15.0,-200.0,ok,ok,39.36668277080412,42.08383648724215,48.88489205454531,-15.00000000002367,15.000000000023658,-200.00000000032122,3.229607113859227e-10,4,1.8527498468756676e-07
0.0,15.0,-200.0,ok,ok,39.718260695558506,45.95577903523313,45.95577903523313,4.3520742565306136e-14,15.000000000012074,-200.0000000001633,1.6375686282157486e-10,4,9.404902812093496e-08
15.0,15.0,-200.0,ok,ok,39.36668277080412,48.88489205454531,42.08383648724215,15.00000000002367,15.000000000023658,-200.00000000032122,3.229607113859227e-10,4,1.8527498468756676e-07
30.0,15.0,-200.0,ok,ok,38.32367071479161,50.90049806987348,37.30424340285108,30.000000000000092,14.99999999999996,-200.0,1.0100271890557266e-13,5,2.9103830456733704e-11
-30.0,30.0,-200.0,ok,ok,32.82990295873661,38.45670788919824,51.561833132099856,-29.999999999999986,29.999999999999922,-200.0,7.944109290391274e-14,5,0.0
-15.0,30.0,-200.0,ok,ok,33.84553256575356,43.1021979101731,49.64501370156465,-14.999999999999936,29.999999999999893,-200.0,1.242942153434676e-13,5,1.4551915228366852e-11
0.0,30.0,-200.0,ok,ok,34.1876179458384,46.83824136983208,46.83824136983208,-4.336808689942018e-19,30.00000000016232,-200.00000000109594,1.1078965160738613e-09,4,6.346381269395351e-07
15.0,30.0,-200.0,ok,ok,33.84553256575356,49.64501370156465,43.1021979101731,14.999999999999936,29.999999999999893,-200.0,1.242942153434676e-13,5,1.4551915228366852e-11
30.0,30.0,-200.0,ok,ok,32.82990295873661,51.561833132099856,38.45670788919824,29.999999999999986,29.999999999999922,-200.0,7.944109290391274e-14,5,0.0
-30.0,-30.0,-180.0,ok,ok,71.32151926101194,49.6485962784453,67.14295714997206,-30.000000000015206,-30.0000000000149,-180.0000000000934,9.578942153775312e-11,4,5.644687917083502e-08
-15.0,-30.0,-180.0,ok,ok,73.10956761569345,56.67391909811388,65.5614830270684,-15.000000000028523,-30.00000000005632,-180.0000000003511,3.567242529191266e-10,4,2.1091545931994915e-07
0.0,-30.0,-180.0,ok,ok,73.73000555284037,62.10157008192002,62.10157008192002,1.4714264499328484e-14,-30.000000000082558,-180.0000000005149,5.214644267345097e-10,4,3.0863157007843256e-07
15.0,-30.0,-180.0,ok,ok,73.10956761569345,65.5614830270684,56.67391909811388,15.000000000028523,-30.00000000005632,-180.0000000003511,3.567242529191266e-10,4,2.1091545931994915e-07
30.0,-30.0,-180.0,ok,ok,71.32151926101194,67.14295714997206,49.6485962784453,30.000000000015206,-30.0000000000149,-180.0000000000934,9.578942153775312e-11,4,5.644687917083502e-08
-30.0,-15.0,-180.0,ok,ok,70.02959656838998,54.52176409879314,70.81205354209668,-30.000000000056364,-15.000000000028164,-180.00000000034927,3.549122348309762e-10,4,2.0982406567782164e-07
