x_mm,y_mm,z_mm,status,reason,theta1_deg,theta2_deg,theta3_deg,fk_x_mm,fk_y_mm,fk_z_mm,roundtrip_error_mm,fk_iterations,fk_max_residual_mm2
25.0,0.0,-265.0,fail,ik_reject,,,,,,,,,
30.0,0.0,-265.0,fail,ik_reject,,,,,,,,,
-30.0,5.0,-265.0,fail,ik_reject,,,,,,,,,
-25.0,5.0,-265.0,fail,ik_reject,,,,,,,,,
-20.0,5.0,-265.0,ok,ok,2.8365967351325185,0.7649923103066497,8.04477455194078,-20.000000000002075,5.000000000000101,-265.0000000000238,2.3907805620366542e-11,4,1.3184035196900368e-08
-15.0,5.0,-265.0,ok,ok,2.9881943966351145,1.8300207153530637,7.292847745968282,-14.999999999998687,4.999999999998799,-265.00000000000017,1.7872595217785224e-12,4,2.9103830456733704e-11
-10.0,5.0,-265.0,ok,ok,3.096492941750354,2.8517984459798997,6.495108853420678,-10.00000000000058,5.000000000000695,-264.9999999999999,9.132223560172496e-13,4,1.4551915228366852e-11
-5.0,5.0,-265.0,ok,ok,3.161478057000517,3.829703077872162,5.651786346403503,-4.999999999999301,5.000000000001221,-265.00000000000466,4.868927183222956e-12,4,2.6193447411060333e-09
0.0,5.0,-265.0,ok,ok,3.1831407789003188,4.763188346012208,4.763188346012208,7.105427357601002e-15,5.000000000001066,-265.00000000001336,1.3400657040946067e-11,4,7.494236342608929e-09
5.0,5.0,-265.0,ok,ok,3.161478057000517,5.651786346403503,3.829703077872162,4.999999999999301,5.000000000001221,-265.00000000000466,4.868927183222956e-12,4,2.6193447411060333e-09
10.0,5.0,-265.0,ok,ok,3.096492941750354,6.495108853420678,2.8517984459798997,10.00000000000058,5.000000000000695,-264.9999999999999,9.132223560172496e-13,4,1.4551915228366852e-11
15.0,5.0,-265.0,ok,ok,2.9881943966351145,7.292847745968282,1.8300207153530637,14.999999999998687,4.999999999998799,-265.00000000000017,1.7872595217785224e-12,4,2.9103830456733704e-11
20.0,5.0,-265.0,ok,ok,2.8365967351325185,8.04477455194078,0.7649923103066497,20.000000000002075,5.000000000000101,-265.0000000000238,2.3907805620366542e-11,4,1.3184035196900368e-08
25.0,5.0,-265.0,fail,ik_reject,,,,,,,,,
30.0,5.0,-265.0,fail,ik_reject,,,,,,,,,
-30.0,10.0,-265.0,fail,ik_reject,,,,,,,,,
-25.0,10.0,-265.0,ok,ok,1.5221751027295707,0.11950089949623723,9.20419794666172,-24.99999999999984,10.000000000000025,-264.9999999999998,2.790633414897383e-13,5,2.9103830456733704e-11
-20.0,10.0,-265.0,ok,ok,1.7169852828244672,1.227439850842124,8.500049016469713,-20.000000000024784,10.000000000012387,-265.0000000003201,3.2128220225473773e-10,4,1.7628190107643604e-07
-15.0,10.0,-265.0,ok,ok,1.868529825943374,2.2924964680438316,7.749787243506755,-14.999999999999796,10.000000000000366,-265.0,4.1908847202234873e-13,4,4.3655745685100555e-11
-10.0,10.0,-265.0,ok,ok,1.9767902518212965,3.313994905510484,6.953539600035104,-9.99999999999971,9.999999999999643,-265.0000000000003,5.404622243831998e-13,4,0.0
