x_mm,y_mm,z_mm,theta_min_deg_limit,theta_max_deg_limit,status,reason,ik_failure_summary,ik_arm1_status,ik_arm2_status,ik_arm3_status,theta1_deg,theta2_deg,theta3_deg,fk_x_mm,fk_y_mm,fk_z_mm,roundtrip_error_mm,fk_iterations,fk_max_residual_mm2
15.0,15.0,-200.0,-45.0,90.0,ok,ok,,ok,ok,ok,-31.00909054738859,-43.85638110688432,-34.55216565111195,15.0000000000037,15.000000000003702,-200.00000000004584,4.614203776219106e-11,4,2.5407643988728523e-08
30.0,15.0,-200.0,-45.0,90.0,fail,ik_reject,arm2:angle_out_of_range,ok,angle_out_of_range,ok,,,,,,,,,
-30.0,30.0,-200.0,-45.0,90.0,fail,ik_reject,arm3:angle_out_of_range,ok,ok,angle_out_of_range,,,,,,,,,
-15.0,30.0,-200.0,-45.0,90.0,fail,ik_reject,arm3:angle_out_of_range,ok,ok,angle_out_of_range,,,,,,,,,
0.0,30.0,-200.0,-45.0,90.0,ok,ok,,ok,ok,ok,-24.712699661226434,-41.24926062136983,-41.24926062136983,0.0,30.000000000006374,-200.0000000000399,4.040987474916674e-11,4,2.2220774553716183e-08
15.0,30.0,-200.0,-45.0,90.0,fail,ik_reject,arm2:angle_out_of_range,ok,angle_out_of_range,ok,,,,,,,,,
30.0,30.0,-200.0,-45.0,90.0,fail,ik_reject,arm2:angle_out_of_range,ok,angle_out_of_range,ok,,,,,,,,,
-30.0,-30.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,ok,angle_out_of_range,,,,,,,,,
-15.0,-30.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,ok,angle_out_of_range,,,,,,,,,
0.0,-30.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,angle_out_of_range,angle_out_of_range,,,,,,,,,
15.0,-30.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,angle_out_of_range,ok,,,,,,,,,
30.0,-30.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,angle_out_of_range,ok,,,,,,,,,
-30.0,-15.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,ok,angle_out_of_range,,,,,,,,,
-15.0,-15.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,angle_out_of_range,angle_out_of_range,,,,,,,,,
0.0,-15.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,angle_out_of_range,angle_out_of_range,,,,,,,,,
15.0,-15.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,angle_out_of_range,angle_out_of_range,,,,,,,,,
30.0,-15.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,angle_out_of_range,ok,,,,,,,,,
-30.0,0.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,angle_out_of_range,angle_out_of_range,,,,,,,,,
-15.0,0.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,angle_out_of_range,angle_out_of_range,,,,,,,,,
0.0,0.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,angle_out_of_range,angle_out_of_range,,,,,,,,,
15.0,0.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,angle_out_of_range,angle_out_of_range,,,,,,,,,
30.0,0.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,angle_out_of_range,angle_out_of_range,,,,,,,,,
-30.0,15.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,angle_out_of_range,angle_out_of_range,,,,,,,,,
-15.0,15.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,angle_out_of_range,angle_out_of_range,,,,,,,,,
0.0,15.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,angle_out_of_range,angle_out_of_range,,,,,,,,,
15.0,15.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,angle_out_of_range,angle_out_of_range,,,,,,,,,
30.0,15.0,-180.0,-45.0,90.0,fail,ik_reject,arm1:angle_out_of_range,angle_out_of_range,angle_out_of_range,angle_out_of_range,,,,,,,,,
-30.0,30.0,-180.0,-45.0,90.0,fail,ik_reject,arm2:angle_out_of_range,ok,angle_out_of_range,angle_out_of_range,,,,,,,,,
-15.0,30.0,-180.0,-45.0,90.0,fail,ik_reject,arm2:angle_out_of_range,ok,angle_out_of_range,angle_out_of_range,,,,,,,,,
0.0,30.0,-180.0,-45.0,90.0,fail,ik_reject,arm2:angle_out_of_range,ok,angle_out_of_range,angle_out_of_range,,,,,,,,,
15.0,30.0,-180.0,-45.0,90.0,fail,ik_reject,arm2:angle_out_of_range,ok,angle_out_of_range,angle_out_of_range,,,,,,,,,
30.0,30.0,-180.0,-45.0,90.0,fail,ik_reject,arm2:angle_out_of_range,ok,angle_out_of_range,angle_out_of_range,,,,,,,,,
