run_id,vision_time,frame_id,marker_id,marker_px,marker_py,marker_detected,valid
2026-06-04_run00_cpre_001,1780657778.764325,47,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657778.913070,48,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657779.056608,49,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657779.196429,50,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657779.343747,51,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657779.472752,52,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657779.617761,53,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657779.762025,54,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657779.903196,55,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657780.044520,56,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657780.192056,57,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657780.334001,58,10,639.250,359.750,True,True
2026-06-04_run00_cpre_001,1780657780.465348,59,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657780.609693,60,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657780.752126,61,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657780.897707,62,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657781.041145,63,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657781.184813,64,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657781.324564,65,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657781.451687,66,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657781.599131,67,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657781.745494,68,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657781.889248,69,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657782.032717,70,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657782.172330,71,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657782.319185,72,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657782.444434,73,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657782.589020,74,10,639.250,359.750,True,True
2026-06-04_run00_cpre_001,1780657782.735476,75,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657782.876785,76,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657783.025247,77,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657783.165381,78,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657783.292787,79,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657783.440717,80,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657783.584391,81,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657783.729989,82,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657783.873335,83,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657784.016669,84,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657784.156286,85,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657784.284732,86,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657784.429436,87,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657784.577724,88,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657784.720296,89,10,639.250,359.750,True,True
2026-06-04_run00_cpre_001,1780657784.865473,90,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657785.004638,91,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657785.149170,92,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657785.281436,93,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657785.425945,94,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657785.569824,95,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657785.714722,96,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657785.856041,97,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657785.999772,98,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657786.145805,99,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657786.268389,100,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657786.417886,101,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657786.557225,102,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657786.705481,103,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657786.849431,104,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657786.988413,105,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657787.136783,106,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657787.261410,107,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657787.408961,108,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657787.553996,109,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657787.698008,110,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657787.841611,111,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657787.985608,112,10,639.250,359.500,True,True
2026-06-04_run00_cpre_001,1780657788.130067,113,10,639.500,359.250,True,True
2026-06-04_run00_cpre_001,1780657788.256180,114,10,639.250,359.000,True,True
2026-06-04_run00_cpre_001,1780657788.401268,115,10,639.250,359.500,True,True
